base,thr_050,thr_051,thr_052,thr_053,thr_054,thr_055,thr_056,thr_057,thr_058,thr_059,thr_060,thr_061,thr_062,thr_063,thr_064,thr_065,thr_066,thr_067,thr_068,thr_069,thr_070,thr_071,thr_072,thr_073,thr_074,thr_075,thr_076,thr_077,thr_078,thr_079,thr_080,thr_081,thr_082,thr_083,thr_084,thr_085,thr_086,thr_087,thr_088,thr_089,thr_090,thr_091,thr_092,thr_093,thr_094,thr_095,epsilon
0.993,0.9692,0.9698,0.9703,0.9706,0.9711,0.9716,0.9718,0.9724,0.9728,0.9734,0.9737,0.9741,0.9746,0.9749,0.9754,0.9758,0.9763,0.9767,0.9774,0.9778,0.9782,0.9788,0.9794,0.9801,0.9805,0.9808,0.9814,0.982,0.9826,0.9831,0.9837,0.9843,0.9848,0.9856,0.9864,0.9872,0.9877,0.9885,0.9892,0.9898,0.9904,0.9912,0.992,0.9926,0.9931,0.9939,5.0
0.996,0.9697,0.9703,0.9707,0.971,0.9716,0.9721,0.9724,0.9729,0.9735,0.974,0.9743,0.9748,0.9753,0.9758,0.9764,0.9768,0.9773,0.9778,0.9785,0.9788,0.9793,0.9798,0.9802,0.9806,0.9812,0.9817,0.9822,0.9824,0.9828,0.9834,0.984,0.9846,0.9853,0.9858,0.9864,0.987,0.9877,0.9883,0.9892,0.9899,0.9904,0.9912,0.992,0.9929,0.9938,0.9946,5.5
0.9978,0.9699,0.9703,0.9709,0.9714,0.9718,0.9723,0.9728,0.9734,0.974,0.9744,0.9747,0.9752,0.9758,0.9762,0.9767,0.9769,0.9773,0.9776,0.9782,0.9786,0.9791,0.9796,0.98,0.9805,0.9809,0.9814,0.9819,0.9823,0.9829,0.9834,0.984,0.9845,0.985,0.9854,0.9861,0.9865,0.9874,0.988,0.9887,0.9892,0.9903,0.9911,0.9916,0.9923,0.9933,0.9941,6.0
0.9982,0.9695,0.9698,0.9702,0.9708,0.9714,0.9718,0.9723,0.9727,0.9733,0.9738,0.9743,0.9747,0.9752,0.9757,0.9763,0.9766,0.9773,0.9778,0.9782,0.9785,0.9791,0.9795,0.9798,0.9802,0.9804,0.9809,0.9816,0.9822,0.9826,0.9834,0.984,0.9845,0.9849,0.9854,0.9859,0.9863,0.9868,0.9875,0.988,0.9893,0.9902,0.9909,0.9916,0.9925,0.9931,0.9943,6.5
0.999,0.9693,0.9699,0.9704,0.9707,0.9712,0.9717,0.9721,0.9725,0.9729,0.9733,0.9738,0.9742,0.9747,0.9753,0.9759,0.9763,0.9768,0.9772,0.9776,0.9782,0.9784,0.979,0.9796,0.9802,0.9808,0.9812,0.9819,0.9824,0.9831,0.9836,0.984,0.9846,0.985,0.9855,0.9864,0.9869,0.9875,0.988,0.9887,0.9894,0.9902,0.9908,0.9917,0.9928,0.9935,0.9946,7.0
0.9995,0.9695,0.9699,0.9704,0.9707,0.971,0.9714,0.9721,0.9726,0.973,0.9735,0.974,0.9744,0.9747,0.9752,0.9756,0.976,0.9765,0.9768,0.9774,0.978,0.9783,0.9787,0.979,0.9795,0.9803,0.9811,0.9817,0.9821,0.9826,0.9832,0.9838,0.9844,0.9849,0.9855,0.9862,0.9869,0.9873,0.988,0.9887,0.9893,0.9901,0.991,0.9916,0.9926,0.9936,0.9945,7.5
0.9999,0.9702,0.9707,0.9711,0.9715,0.9718,0.9723,0.9726,0.9731,0.9736,0.974,0.9745,0.9749,0.9753,0.9757,0.9762,0.9767,0.9771,0.9775,0.978,0.9783,0.9788,0.9792,0.9795,0.9801,0.9808,0.9813,0.9819,0.9824,0.983,0.9835,0.9842,0.9849,0.9852,0.9858,0.9865,0.987,0.9874,0.9882,0.9891,0.9896,0.9902,0.9908,0.9917,0.9924,0.9931,0.9941,8.0
0.9999,0.9701,0.9704,0.9709,0.9713,0.9717,0.9721,0.9724,0.9727,0.9733,0.9737,0.974,0.9746,0.9748,0.9755,0.9759,0.9763,0.9769,0.9772,0.9777,0.9784,0.979,0.9794,0.9799,0.9804,0.981,0.9816,0.9822,0.9827,0.9832,0.9839,0.9844,0.9847,0.9852,0.9858,0.9865,0.9869,0.9873,0.988,0.9887,0.9894,0.9902,0.9911,0.9919,0.9927,0.9936,0.9947,8.5
0.9999,0.9691,0.9693,0.9698,0.9701,0.9707,0.9715,0.9721,0.9724,0.973,0.9734,0.9738,0.9741,0.9744,0.9749,0.9752,0.976,0.9765,0.977,0.9772,0.9776,0.978,0.9785,0.9791,0.9794,0.98,0.9805,0.9809,0.9814,0.9822,0.9827,0.9831,0.9836,0.9842,0.9849,0.9858,0.9867,0.9874,0.9882,0.9888,0.9894,0.9901,0.9906,0.9915,0.9924,0.9934,0.9943,9.0
0.9998,0.9697,0.9702,0.9705,0.971,0.9715,0.9721,0.9723,0.9727,0.9731,0.9735,0.9738,0.9744,0.9747,0.9752,0.9759,0.9764,0.9768,0.9774,0.9778,0.9783,0.9786,0.979,0.9797,0.9802,0.9807,0.9812,0.9819,0.9824,0.983,0.9836,0.9842,0.9848,0.9854,0.986,0.9868,0.9875,0.9879,0.9887,0.9893,0.9899,0.9907,0.9913,0.9922,0.9929,0.9935,0.9943,9.5
